Month,Avg. Players,Date,Trend,Twitch Viewers
December 2024,913953,12-01-2024,5,"73,460"
January 2025,914092,01-01-2025,6,"80,442"
February 2025,1003571,02-01-2025,5,"103,005"
March 2025,1039663,03-01-2025,6,"107,598"
April 2025,1045702,04-01-2025,6,"87,053"
May 2025,1038597,05-01-2025,7,"99,700"
June 2025,1010124,06-01-2025,6,"117,713"
July 2025,920070,07-01-2025,6,"86,265"
August 2025,928429,08-01-2025,5,"91,708"
September 2025,925940,09-01-2025,4,"60,125"
October 2025,948244,10-01-2025,5,"67,126"
November 2025,981482,11-01-2025,7,"72,839"
December 2025,991177,12-01-2025,6,"82,535"
January 2026,1070444,01-01-2026,6,"79,936"
February 2026,1084095,02-01-2026,6,"100,573"
March 2026,1069173,03-01-2026,7,"103,883"
April 2026,974786,04-01-2026,7,"89,533"
